aur-release-git,brisbin33,
aurto,alexheretic,DBE7D3DD8C81D58D0A13D0E76BC26A17B9B7018A
aws-cli-v2,kstolp,FB5DB77FD5C118B80511ADA8A6310ACC4672475C
bdf-unifont,carlosal1015,95D2E9AB8740D8046387FD151A09227B1F435A33
downgrade,brisbin33,
gifcast,wfleming,
heroku-cli-bin,ChloeColman,
laptop-mode-tools,dbermond,
ncurses5-compat-libs,micwoj92,19882D92DDA4C400C22C0D56CC2AF4472167BE03
nix-zsh-completions,mahor1221,
noto-color-emoji-fontconfig,yifwon,
nvm,tomwadley,
rcm,Felixoid,
siji-ng,imp0,
stack-static,simonfxr,C5705533DA4F78D8664B5DC0575159689BEFB442
systemd-boot-pacman-hook,Nierro,
teams,ogarcia,
vbump-git,brisbin33,
zoom,edh,
